stdout 99744
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648      -> 16
-2147483648      -> 16
-2147483648      -> 16
-0000002147483648 -> 17
-2147483648      -> 16
-2147483648      -> 16
-2147483648      -> 16
-2147483648      -> 16
-2147483648      -> 16
-2147483648      -> 16
-0000002147483648 -> 17
-2147483648      -> 16
-2147483648      -> 16
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-2147483648 -> 11
-0000002147483648 -> 17
-2147483648 -> 11
-2147483648 -> 11
stderr 0
